entry_id, crystal_growth_procedure
"6SR0","20 % NACL, 6 % PEG 6000, 0.1 M SODIUM acetate pH 3.0"
"6SR1","20 % NACL, 6 % PEG 6000, 0.1 M SODIUM acetate pH 3.0"
"6SR2","20 % NACL, 6 % PEG 6000, 0.1 M SODIUM acetate pH 3.0"
"6SR3","20 % NACL, 6 % PEG 6000, 0.1 M SODIUM acetate pH 3.0"
"6SR4","20 % NACL, 6 % PEG 6000, 0.1 M SODIUM acetate pH 3.0"
"6SR5","20 % NACL, 6 % PEG 6000, 0.1 M SODIUM acetate pH 3.0"
"6SYC","0.3 M sodium chloride, 0.1 M imidazole.  After growth, and before measurement, these crystals were soaked in the dye solution: saturated bromophenol blue, 0.3 M sodium chloride, 0.1 M imidazole buffer at pH 6.5."
"6SYD","0.1 M sodium acetate, 0.3-0.5 sodium chloride at pH 4.6. After growth, and before measurement, these crystals were soaked in the dye solution: saturated bromophenol blue, 0.3 M sodium chloride, 0.1 M sodium acetate buffer at pH 5.5."
"6SYE","Crystals grew in 0.1 M sodium acetate, 0.3 M sodium chloride at pH 4.6 in the presence of 0.1 M Lithium sulfate. After growth, and before measurement, these crystals were soaked in the dye solution: saturated bromophenol blue, 0.3 M sodium chloride, 100 mM Lithium sulfate, 100 mM phosphate buffer at pH 7.0"
"6TVL","NaCl 0.7-1.5 M, 0.1 M Na acetate"
"6TVY","Lysozyme stock solution at 50 mg/ml in 10 mM Sodium Acetate pH 4.5, 40 mM NaCl, incubated in the XtalController instrument. The crystallization was triggered by the addition of 10mM Tb-Xo4 crystallophore."
"6W7P","PEG 6000, NaCl, Na Acetate"
"6W8E","PEG 6000, NaCl, Na Acetate"
"6WEB","NaCl, ethylene glycol, PEG 3350, acetate buffer pH 3.5"
"6WEC","NaCl, ethylene glycol, PEG 3350, acetate buffer pH 3.5"
"6WGO","0.1 M Sodium Acetate pH 4.7 and 0.8 M Sodium Chloride"
"6WRL","0.1 M Sodium Acetate pH 4.7 and 0.8 M Sodium Chloride"
"6WRM","0.1 M Sodium Acetate pH 4.7 and 0.8 M Sodium Chloride"
"6WX5","0.1 M Sodium Acetate pH 4.7 and 0.8 M Sodium Chloride pH 4.7"
"6YBF","5% w/v NaCl, 50 mM AcNa pH 4.5"
"6YBI","5% w/v NaCl, 50 mM AcNa pH 4.5"
"6YJX","12.5 % (w/v) PA200
0.1 M NaOAc
0.2 M NaCl"
"6YOB","0.5-1 M NaBr, 50-100 mM CH3COONa, pH 4.5, and 15-30 %(v/v) PEG400"
"6YOC","0.5-1 M NaBr, 50-100 mM CH3COONa, pH 4.5, and 15-30 %(v/v) PEG400"
"6YOD","0.5-1 M NaBr, 50-100 mM CH3COONa, pH 4.5, and 15-30 %(v/v) PEG400"
"6YOE","0.5-1 M NaBr, 50-100 mM CH3COONa, pH 4.5, and 15-30 %(v/v) PEG400"
"6ZS8","20% ethylene glycol
0.1 M sodium acetate pH 4.0
0.6 M sodium nitrate"
"7A70","0.5 M Tris-HCl, 0.7 M NaCl"
"7AC2","dissolved 50 mg/ml in 100 mM Na Acetate pH 3.0. mixed 1:1 (v:v) with  19.04% NaCl, 5.44% PEG 8000, 68 mM Na acetate pH 3.0"
"7AVE","0.15 M sodium nitrate, 0.05 M sodium acetate pH 4.5"
"7AVF","sodium nitrate, sodium acetate pH 4.5"
"7AVG","sodium nitrate, sodium acetate pD 4.5"
"7B9J","sodium chloride, sodium acetate, DES: Choline chloride/Urea"
"7BAZ","sodium chloride, sodium acetate, 
DES: Choline chloride/Glycerol"
"7BB1","sodium chloride, sodium acetate,
DES: Choline chloride/Glutamic acid"
"7BCU","NACL 0.7-1.5 M, 0.1 M NA ACETATE, PH  4.6, VAPOR DIFFUSION, SITTING DROP, TEMPERATURE 289K"
"7BCX","NACL 1.5 M, 0.1 M NA ACETATE, PH 4.6, VAPOR DIFFUSION, SITTING DROP"
"7BD0","NACL 1.5 M, 0.1 M NA ACETATE, PH 4.6, VAPOR DIFFUSION, SITTING DROP"
"7BDM","NACL 1.5 M, 0.1 M NA ACETATE, PH 4.6, VAPOR DIFFUSION, SITTING DROP"
"7BDZ","0.1M sodium acetate, 20% ethylene glicol, 0.6 M sodium nitrate"
"7BE0","0.1 M sodium acetate, 20% ethylene glicol, 0.6 M sodium nitrate"
"7BE1","0.1 M sodium acetate, 20% ethylene glicol, 0.6 M sodium nitrate"
"7BE2","0.01 M HEPES, 2.00 M sodium formate"
"7BEB","0.1 M sodium acetate, 20% ethylene glicol, 0.6 M sodium nitrate"
"7BEC","0.1 M sodium acetate, 20% ethylene glicol, 0.1 M sodium nitrate"
"7BHK","1 M citric acid, 20% (w/v) NaCl, 5% (w/v) PEG 6000, pH 3.0."
"7BHL","1 M citric acid, 20% (w/v) NaCl, 5% (w/v) PEG 6000, pH 3.0"
"7BHM","1 M citric acid, 20% (w/v) NaCl, 5% (w/v) PEG 6000, pH 3.0"
"7BHN","1 M citric acid, 20% (w/v) NaCl, 5% (w/v) PEG 6000, pH 3.0"
"7BMO","50 mM sodium acetate pH 4.5, 1.71 M sodium chloride"
"7BMP","50 mM sodium acetate pH 4.5, 1.71 M sodium chloride"
"7BMQ","50 mM sodium acetate pH 4.5, 1.71 M sodium chloride"
"7BMR","50 mM sodium acetate pH 4.5, 1.71 M sodium chloride"
"7BMS","50 mM sodium acetate pH 4.5, 1.5 M cesium chloride"
"7BMT","50 mM sodium acetate pH 4.5, 1.71 M sodium chloride, 15 % (w/v) ethylene glycol"
"7BR5","40mg/mL lysozyme containing 2.1mg/mL (GlcNAc)4, 0.7M NaCl in a buffer of 50mM sodium-acetate (pH4.5)"
"7BVM","sodium acetate, PEG 8000, NaCl"
"7BVO","sodium acetate, PEG 8000, NaCl"
"7BYO","100 mM sodium acetate (pH 4.0), 6% (w/v) polyethylene glycol 8,000, and 3.5 M NaCl"
"7BYP","100 mM sodium acetate (pH 4.0), 6% (w/v) polyethylene glycol 8,000, and 3.5 M NaCl"
"7C09","NaCl"
"7CDK","The lysozyme solution (40 mg/ml) in 10 mM Na-acetate, pH 4.6 was mixed with the same volume of 4 M Na-Malonate pH 3.1, 6% w/v PEG6000 and stirred for 20 minutes. The crystal growth was stopped by adding 2.4 M Na-Malonate pH 3.1, 3.6 % w/v PEG6000."
"7CDM","The lysozyme solution (40 mg/ml) in 10 mM Na-acetate, pH 4.6 was mixed with the same volume of 4 M Na-Malonate pH 3.1, 6% w/v PEG6000 and stirred for 20 minutes. The crystal growth was stopped by adding 2.4 M Na-Malonate pH 3.1, 3.6 % w/v PEG6000."
"7CDN","The lysozyme solution (40 mg/ml) in 10 mM Na-acetate, pH 4.6 was mixed with the same volume of 4 M Na-Malonate pH 3.1, 6% w/v PEG6000 and stirred for 20 minutes. The crystal growth was stopped by adding 2.4 M Na-Malonate pH 3.1, 3.6 % w/v PEG6000."
"7CDO","The lysozyme solution (40 mg/ml) in 10 mM Na-acetate, pH 4.6 was mixed with the same volume of 4 M Na-Malonate pH 3.1, 6% w/v PEG6000 and stirred for 20 minutes. The crystal growth was stopped by adding 2.4 M Na-Malonate pH 3.1, 3.6 % w/v PEG6000."
"7CDP","The lysozyme solution (40 mg/ml) in 10 mM Na-acetate, pH 4.6 was mixed with the same volume of 4 M Na-Malonate pH 3.1, 6% w/v PEG6000 and stirred for 20 minutes. The crystal growth was stopped by adding 2.4 M Na-Malonate pH 3.1, 3.6 % w/v PEG6000."
"7CDQ","The lysozyme solution (40 mg/ml) in 10 mM Na-acetate, pH 4.6 was mixed with the same volume of 4 M Na-Malonate pH 3.1, 6% w/v PEG6000 and stirred for 20 minutes. The crystal growth was stopped by adding 2.4 M Na-Malonate pH 3.1, 3.6 % w/v PEG6000."
"7CDR","The lysozyme solution (40 mg/ml) in 10 mM Na-acetate, pH 4.6 was mixed with the same volume of 4 M Na-Malonate pH 3.1, 6% w/v PEG6000 and stirred for 20 minutes. The crystal growth was stopped by adding 2.4 M Na-Malonate pH 3.1, 3.6 % w/v PEG6000."
"7CDS","The lysozyme solution (40 mg/ml) in 10 mM Na-acetate, pH 4.6 was mixed with the same volume of 4 M Na-Malonate pH 3.1, 6% w/v PEG6000 and stirred for 20 minutes. The crystal growth was stopped by adding 2.4 M Na-Malonate pH 3.1, 3.6 % w/v PEG6000."
"7CDT","The lysozyme solution (40 mg/ml) in 10 mM Na-acetate, pH 4.6 was mixed with the same volume of 4 M Na-Malonate pH 3.1, 6% w/v PEG6000 and stirred for 20 minutes. The crystal growth was stopped by adding 2.4 M Na-Malonate pH 3.1, 3.6 % w/v PEG6000."
"7CDU","The lysozyme solution (40 mg/ml) in 10 mM Na-acetate, pH 4.6 was mixed with the same volume of 4 M Na-Malonate pH 3.1, 6% w/v PEG6000 and stirred for 20 minutes. The crystal growth was stopped by adding 2.4 M Na-Malonate pH 3.1, 3.6 % w/v PEG6000."
"7CJZ","sodium acetate, PEG 8000, NaCl"
"7CQO","35% (v/v) PEG 400, 0.8 M NaCl, 100 mM sodium citrate/citric acid pH 4.5"
"7CVJ","sodium acetate, PEG 8000, NaCl"
"7CVL","sodium acetate, PEG 8000, NaCl"
"7D01","100 mM sodium acetate (pH 4.0), 6% (w/v) polyethylene glycol 8,000, and 3.5 M NaCl"
"7D02","100 mM sodium acetate (pH 4.0), 6% (w/v) polyethylene glycol 8,000, and 3.5 M NaCl"
"7D04","100 mM sodium acetate (pH 4.0), 6% (w/v) polyethylene glycol 8,000, and 3.5 M NaCl"
"7D05","100 mM sodium acetate (pH 4.0), 6% (w/v) polyethylene glycol 8,000, and 3.5 M NaCl"
"7D0W","PEG 3000, TRIS pH 5.6"
"7DEQ","40mg/mL  lysozyme containing 2.1mg/mL (GlcNAc)4, 0.7M NaCl in a buffer of 50mM sodium-acetate (pD4.5)"
"7DER","15mg/mL lysozyme, 0.7M NaCl in a buffer of 50mM sodium-acetate (pH4.5)"
"7DLN","sodium chloride, PEG20000"
"7DTB","sodium acetate, PEG 8000, NaCl"
"7DTF","sodium acetate, PEG 8000, NaCl"
"7E02","sodium acetate, PEG 8000, NaCl"
"7F26","0.2M citric acid and 0.2M sodium acetate were mixed in a ratio of 1:1 to form a buffer solution, and the buffer solution was mixed with 12%-16% sodium chloride in a ratio of 1:1 to form the mother liquor"
"7FCU","15-25mg/mL HEWL, 50mM sodium acetate (pH4.5), 0.1g/mL NiCl2"
"7FCW","15-25mg/mL HEWL, 50mM sodium acetate (pH4.5), 0.1g/mL NiCl2"
"7FG8","NACL, SODIUM ACETATE-D3, ACETIC ACID-D4"
"7FGU","NACL, SODIUM ACETATE-D3, ACETIC ACID-D4, 100% D2O, PH 4.6"
"7FGV","NACL, SODIUM ACETATE-D3, ACETIC ACID-D4, 100% D2O, PH 4.6, VAPOR DIFFUSION, SITTING DROP"
"7JMU","5.7% w/v ethylammonium nitrate"
"7KH5","0.2 M Potassium sulfate, 20% w/v Polyethylene glycol 3,350"
"7KNK","Rice vinegar, Common salt and Baking powder"
"7L84","50 mM citrate buffer (pH 5.2 - 5.8), 20-25% PEG 4000, 20-25% glycerol"
"7LLP","Lysozyme was dissolved in 0.1 M Sodium Acetate pH 4.6 at 100 mg/ml and 5 microliters of this protein solution was mixed with 5 microliters of 0.1 M Sodium Acetate and 0.6 M Sodium Chloride solution pH 4.6. The 10 microliters drop was equilibrated against 0.7 milliliters of 2.2 M Ammonium Sulfate well solution."
"7LN8","Lysozyme was dissolved in 0.1 M Sodium Acetate pH 4.6 at 100 mg/ml and 5 microliters of this protein solution was mixed with 5 microliters of 0.1 M Sodium Acetate and 0.6 M Sodium Chloride solution pH 4.6. The 10 microliters drop was equilibrated against 0.7 milliliters of 2.2 M Ammonium sulfate well solution."
"7LN9","Lysozyme was dissolved in 0.1 M Sodium Acetate pH 4.6 at 100 mg/ml and 5 microliters of this protein solution was mixed with 5 microliters of 0.1 M Sodium Acetate and 0.6 M Sodium Chloride solution pH 4.6. The 10 microliters drop was equilibrated against 0.7 milliliters of 2.2 M Ammonium sulfate well solution."
"7LOQ","Lysozyme was dissolved in 0.1 M Sodium Acetate pH 4.6 at 100 mg/ml and 5 microliters of this protein solution was mixed with 5 microliters of 0.1 M Sodium Acetate and 0.6 M Sodium Chloride solution pH 4.6. The 10 microliters drop was equilibrated against 0.7 milliliters of 2.2 M Ammonium sulfate well solution."
"7LOR","Lysozyme was dissolved in 0.1 M Sodium Acetate pH 4.6 at 100 mg/ml and 5 microliters of this protein solution was mixed with 5 microliters of 0.1 M Sodium Acetate and 0.6 M Sodium Chloride solution pH 4.6. The 10 microliters drop was equilibrated against 0.7 milliliters of 2.2 M Ammonium sulfate well solution."
"7LP6","Lysozyme was dissolved in 0.1 M Sodium Acetate pH 4.6 at 100 mg/ml and 5 microliters of this protein solution was mixed with 5 microliters of 0.1 M Sodium Acetate and 0.6 M Sodium Chloride solution pH 4.6. The 10 microliters drop was equilibrated against 0.7 milliliters of 2.2 M Ammonium sulfate well solution."
"7LPL","Lysozyme was dissolved in 0.1 M Sodium Acetate pH 4.6 at 100 mg/ml and 5 microliters of this protein solution was mixed with 5 microliters of 0.1 M Sodium Acetate and 0.6 M Sodium Chloride solution pH 4.6. The 10 microliters drop was equilibrated against 0.7 milliliters of 2.2 M Ammonium sulfate well solution."
"7LPM","Lysozyme was dissolved in 0.1 M Sodium Acetate pH 4.6 at 100 mg/ml and 5 microliters of this protein solution was mixed with 5 microliters of 0.1 M Sodium Acetate and 0.6 M Sodium Chloride solution pH 4.6. The 10 microliters drop was equilibrated against 0.7 milliliters of 2.2 M Ammonium sulfate well solution."
"7LYZ"
"7NJF","33% PEG 4000, 0.5 M NaCl, 50 mM sodium acetate pH 4.5"
"7NKF","33% PEG 4000, 0.5 M NaCl, 50 mM sodium acetate pH 4.5"
"7O2O","50 mM NaOAc/HOAc, pH 3.5
1 M NaCl
35% EG, 12.5% PEG-3350"
"7OL5","0.1M Hepes, 10% isopropanol, 20% PEG 4000"
"7OL6","0.2M NaCl, 0.1M Imidazole, 10mM NaH2PO4 plus 10% TFE in the reservoir"
"7OL7","0.4M NaCl, 0.1M Sodium Acetate plus 15% TFE in the reservoir"
"7OL8","0.3M NaCl, 0.1M MES, 10mM NaH2PO4 plus 20% TFE in the reservoir"
"7P6M","0.05 M sodium acetate pH 4.5, 0.3 M sodium nitrate, micro seeds of G. gallus HEWL"
"7PNH","20% ethylene glycol
0.1 M sodium acetate buffer pH 4.0
0.6 M sodium nitrate"
"7Q04","12.5% MPD, 
12.5% PEG 3350, 
12.5% PEG 1000, 
0.3 M sodium nitrate, 
0.3 M sodium phosphate dibasic, 
0.3 M ammonium sulfate, 
0.1 M buffer Imidazole/MES pH 6.5"
"7Q05","12.5% MPD, 
12.5% PEG 3350, 
12.5% PEG 1000, 
0.3 M sodium nitrate, 
0.3 M sodium phosphate dibasic, 
0.3 M ammonium sulfate, 
0.1 M buffer Imidazole/MES pH 6.5"
"7Q06","12.5% MPD, 
12.5% PEG 3350, 
12.5% PEG 1000, 
0.3 M sodium nitrate, 
0.3 M sodium phosphate dibasic, 
0.3 M ammonium sulfate, 
0.1 M buffer Imidazole/MES pH 6.5"
"7Q0T","4-8% (M/V) NACL IN 0.1 M ACETATE BUFFER PH 4.5. PROTEIN STOCK CONCENTRATION OF 50 MG/ML."
"7Q0U","4-8% (M/V) NACL IN 0.1 M ACETATE BUFFER PH 4.5. PROTEIN STOCK CONCENTRATION OF 50 MG/ML."
"7Q0V","4-8% (M/V) NACL IN 0.1 M ACETATE BUFFER PH 4.5. PROTEIN STOCK CONCENTRATION OF 50 MG/ML."
"7QNP","35% (v/v) dioxane, pH undefined"
"7QQ1","0.10 M HEPES pH 7.5
2.00 M sodium formate"
"7R1Q","2.0 M sodium formate
0.1 M hepes buffer pH 7.5"
"7RXY","ionic liquid ethylammonium nitrate 5 mol% (ca. 24wt%) in water"
"7RYD","butylammonium nitrate 1 mol% (ca. 7wt%) in water"
"7RYK","ethanolammonium nitrate 1mol% (ca. 7wt%) in water"
"7RZ0","ethanolammonium formate 6.7 mol% (ca. 30wt%) in water"
"7RZ1","ethanolammonium formate 14.4mol% (ca. 50wt%) in water"
"7RZ2","ethanolammonium formate 4mol% (ca. 20wt%) in water"
"7S27","1.2 M NaCl, 100 mM Sodium Acetate, 50 mg/mL Lyzozyme, 30% Glycerol for cryoprotection"
"7S28","1.2 M NaCl, 100 mM Sodium Acetate, 50 mg/mL Lyzozyme, 30% Glycerol for cryoprotection"
"7S29","1.2 M NaCl, 100 mM Sodium Acetate, 50 mg/mL Lyzozyme, 30% Glycerol for cryoprotection"
"7S2A","1.2 M NaCl, 100 mM Sodium Acetate, 50 mg/mL Lyzozyme, 30% Glycerol for cryoprotection"
"7S2B","1.2 M NaCl, 100 mM Sodium Acetate, 50 mg/mL Lyzozyme, 30% Glycerol for cryoprotection"
"7S2C","1.2 M NaCl, 100 mM Sodium Acetate, 50 mg/mL Lyzozyme, 30% Glycerol for cryoprotection"
"7S2D","1.2 M NaCl, 100 mM Sodium Acetate, 50 mg/mL Lyzozyme, 30% Glycerol for cryoprotection"
"7S2E","1.2 M NaCl, 100 mM Sodium Acetate, 50 mg/mL Lyzozyme, 30% Glycerol for cryoprotection"
"7S2F","1.2 M NaCl, 100 mM Sodium Acetate, 50 mg/mL Lyzozyme, 30% Glycerol for cryoprotection"
"7S2G","1.2 M NaCl, 100 mM Sodium Acetate, 50 mg/mL Lyzozyme, 30% Glycerol for cryoprotection"
"7S2Q","1.2 M NaCl, 100 mM Sodium Acetate, 50 mg/mL Lyzozyme, 30% Glycerol for cryoprotection"
"7S2U","1.2 M NaCl, 100 mM Sodium Acetate, 50 mg/mL Lyzozyme, 30% Glycerol for cryoprotection"
"7S2V","1.2 M NaCl, 100 mM Sodium Acetate, 50 mg/mL Lyzozyme, 30% Glycerol for cryoprotection"
"7S2W","1.2 M NaCl, 100 mM Sodium Acetate, 50 mg/mL Lyzozyme, 30% Glycerol for cryoprotection"
"7S30","1.2 M NaCl, 100 mM Sodium Acetate, 50 mg/mL Lyzozyme, 30% Glycerol for cryoprotection"
"7S31","1.2 M NaCl, 100 mM Sodium Acetate, 50 mg/mL Lyzozyme, 30% Glycerol for cryoprotection"
"7S32","1.2 M NaCl, 100 mM Sodium Acetate, 50 mg/mL Lyzozyme, 30% Glycerol for cryoprotection"
"7S33","1.2 M NaCl, 100 mM Sodium Acetate, 50 mg/mL Lyzozyme, 30% Glycerol for cryoprotection"
"7S34","1.2 M NaCl, 100 mM Sodium Acetate, 50 mg/mL Lyzozyme, 30% Glycerol for cryoprotection"
"7S35","1.2 M NaCl, 100 mM Sodium Acetate, 50 mg/mL Lyzozyme, 30% Glycerol for cryoprotection"
"7S4W","0.1 M sodium acetate pH 3.0, 18 % (w/v) sodium chloride, 6% PEG 400"
"7TUM","NaCl, ethylene glycol, PEG 3350, acetate buffer pH 3.5"
"7VGO","0.1M sodium acetate, 8%(w/v) sodium chloride, 0.1M cesium chloride"
"7VGP","0.1M sodium acetate, 8%(w/v) sodium chloride, 0.1M cesium chloride"
"7WBD","sodium acetate, PEG 8000, NaCl"
"7WBE","sodium acetate, PEG 8000, NaCl"
"7WBF","sodium acetate, PEG 8000, NaCl"
"7WKR","sodium acetate, PEG 8000, NaCl"
"7WUC","Na-acetate, NaCl, PEG 8000"
"7WXS","50mM sodium acetate, 1.5M NaCl, pH 4.5"
"7Y6A","0.09 M HEPES-NaOH  pH 7.5, 1.26 M sodium citrate tribasic dihydrate, 10% v/v glycerol"
"7YNU","28% NaCl, 8% PEG6000, 100 mM Na-acetate (pH3.6)"
"7YNV","28% NaCl, 8% PEG6000, 100 mM Na-acetate (pH3.6)"
"7YRK","0.1 M of acetic acid-sodium acetate buffer (pH 4.7) including 2-6 % (m/v) of NaCl"
"7Z6J","0.10 M HEPES pH 7.5
2.00 M sodium formate"
"7ZU6","2.0 M sodium formate
0.1 M hepes buffer pH 7.5"
"8A9D","1M NaCl, 0.1 Na Acetate pH 4.5, 30% (v/v) PEG 400."
"8A9E","10 % NaCl, 0.1 M sodium acetate buffer, pH 4.0, soaked in 100 mM gadoteridol 30 min. before data collection"
"8A9R","100 mM sodium acetate pH 4.6, 1M NaCl"
"8AAZ","10 mM Tris-HCl pH 7.0, 80 mM Na2-ATP"
"8AJ3","2.0 M sodium formate and 0.1 M Hepes, pH 7.5"
"8AJ4","2.0 M sodium formate
0.1 M hepes pH 7.5"
"8AJ5","20% ethylene glycol
0.1 M sodium acetate pH 4.0
0.6 M sodium nitrate"
"8B3L","0.1 M sodium acetate, pH 4.6, 2.7 M NaCl, 15 % PEG4000, 6 % ethylene glycol"
"8B3T","0.1 M sodium acetate, pH 4.6, 2.7 M NaCl, 15 % PEG4000, 6 % ethylene glycol"
"8B3U","0.1 M sodium acetate, pH 4.6, 2.7 M NaCl, 15 % PEG4000, 6 % ethylene glycol"
"8B3V","0.1 M sodium acetate, pH 4.6, 2.7 M NaCl, 15 % PEG4000, 6 % ethylene glycol"
"8BOV","2.0 M sodium formate
0.1 M Hepes buffer pH 7.5"
"8BOY","20% ethylene glycol
0.1 M sodium acetate pH 4.0
0.6 M sodium Nitrate"
"8BPH","0.8 M succinic acid"
"8BPJ","20% ethylene glycol, 0.1 M sodium acetate buffer at pH 4.0, 0.6 M sodium nitrate"
"8BPU","2.0 M sodium formate, 0.1 M Hepes buffer pH 7.5"
"8BQM","1.1 M sodium chloride, 0.1 M sodium acetate buffer pH 4.0"
"8BQP","130 mg/mL Lysozyme, 20 mM AE-CH3, 1.0 M lithium chloride, 0.1 M sodium acetate and 30% (w/v) PEG 6000"
"8BQQ","130 mg/mL Lysozyme, 20 mM AE-NH2, 1.0 M lithium chloride, 0.1 M sodium acetate and 30% (w/v) PEG 6000"
"8BQR","50 mg/mL Lysozyme, 200 mg/mL  AE-Biot, of 0.5 M calcium chloride, 30% (w/v) PEG 4000 and 0.1 M HEPES buffer (pH 8.5)."
"8BQT","130 mg/mL Lysozyme, 20 mM AE-CH3, 0.1 M magnesium chloride, 0.1 M sodium acetate buffer (pH 4.6) and 25% (w/v) PEG 400."
"8CVU","Lysozyme [20 mg/ml dissolved in 0.1 M sodium acetate at pH 3.0] mixed with precipitant [28% (w/v) NaCl, 8% (w/v) PEG6000 and 0.1 M sodium acetate at pH 3.0] in a 1:1 ratio"
"8CVV","Lysozyme [20 mg/ml dissolved in 0.1 M sodium acetate at pH 3.0] mixed with precipitant [28% (w/v) NaCl, 8% (w/v) PEG6000 and 0.1 M sodium acetate at pH 3.0] in a 1:1 ratio"
"8CVW","Lysozyme [20 mg/ml dissolved in 0.1 M sodium acetate at pH 3.0] mixed with precipitant [28% (w/v) NaCl, 8% (w/v) PEG6000 and 0.1 M sodium acetate at pH 3.0] in a 1:1 ratio"
"8CW0","Lysozyme [20 mg/ml dissolved in 0.1 M sodium acetate at pH 3.0] mixed with precipitant [28% (w/v) NaCl, 8% (w/v) PEG6000 and 0.1 M sodium acetate at pH 3.0] in a 1:1 ratio"
"8CW1","Lysozyme [20 mg/ml dissolved in 0.1 M sodium acetate at pH 3.0] mixed with precipitant [28% (w/v) NaCl, 8% (w/v) PEG6000 and 0.1 M sodium acetate at pH 3.0] in a 1:1 ratio"
"8CW3","Lysozyme [20 mg/ml dissolved in 0.1 M sodium acetate at pH 3.0] mixed with precipitant [28% (w/v) NaCl, 8% (w/v) PEG6000 and 0.1 M sodium acetate at pH 3.0] in a 1:1 ratio"
"8CW5","Lysozyme [20 mg/ml dissolved in 0.1 M sodium acetate at pH 3.0] mixed with precipitant [28% (w/v) NaCl, 8% (w/v) PEG6000 and 0.1 M sodium acetate at pH 3.0] in a 1:1 ratio"
"8CW6","Lysozyme [20 mg/ml dissolved in 0.1 M sodium acetate at pH 3.0] mixed with precipitant [28% (w/v) NaCl, 8% (w/v) PEG6000 and 0.1 M sodium acetate at pH 3.0] in a 1:1 ratio"
"8CW7","Lysozyme [20 mg/ml dissolved in 0.1 M sodium acetate at pH 3.0] mixed with precipitant [28% (w/v) NaCl, 8% (w/v) PEG6000 and 0.1 M sodium acetate at pH 3.0] in a 1:1 ratio"
"8CW8","Lysozyme [20 mg/ml dissolved in 0.1 M sodium acetate at pH 3.0] mixed with precipitant [28% (w/v) NaCl, 8% (w/v) PEG6000 and 0.1 M sodium acetate at pH 3.0] in a 1:1 ratio"
"8CWB","Lysozyme-inhibitor complex [20 mg/ml lysozyme plus 10 mg/ml N,N'-diacetylchitobiose dissolved in 0.1 M sodium acetate at pH 3.0] mixed with precipitant [28% (w/v) NaCl, 8% (w/v) PEG6000 and 0.1 M sodium acetate at pH 3.0] in a 1:1 ratio"
"8CWC","Lysozyme-inhibitor complex [20 mg/ml lysozyme plus 10 mg/ml N,N'-diacetylchitobiose dissolved in 0.1 M sodium acetate at pH 3.0] mixed with precipitant [28% (w/v) NaCl, 8% (w/v) PEG6000 and 0.1 M sodium acetate at pH 3.0] in a 1:1 ratio"
"8CWD","Lysozyme-inhibitor complex [20 mg/ml lysozyme plus 10 mg/ml N,N'-diacetylchitobiose dissolved in 0.1 M sodium acetate at pH 3.0] mixed with precipitant [28% (w/v) NaCl, 8% (w/v) PEG6000 and 0.1 M sodium acetate at pH 3.0] in a 1:1 ratio"
"8CWE","Lysozyme-inhibitor complex [20 mg/ml lysozyme plus 10 mg/ml N,N'-diacetylchitobiose dissolved in 0.1 M sodium acetate at pH 3.0] mixed with precipitant [28% (w/v) NaCl, 8% (w/v) PEG6000 and 0.1 M sodium acetate at pH 3.0] in a 1:1 ratio"
"8CWF","Lysozyme-inhibitor complex [20 mg/ml lysozyme plus 10 mg/ml N,N'-diacetylchitobiose dissolved in 0.1 M sodium acetate at pH 3.0] mixed with precipitant [28% (w/v) NaCl, 8% (w/v) PEG6000 and 0.1 M sodium acetate at pH 3.0] in a 1:1 ratio"
"8CWG","Lysozyme-inhibitor complex [20 mg/ml lysozyme plus 10 mg/ml N,N'-diacetylchitobiose dissolved in 0.1 M sodium acetate at pH 3.0] mixed with precipitant [28% (w/v) NaCl, 8% (w/v) PEG6000 and 0.1 M sodium acetate at pH 3.0] in a 1:1 ratio"
"8CWH","Lysozyme-inhibitor complex [20 mg/ml lysozyme plus 10 mg/ml N,N'-diacetylchitobiose dissolved in 0.1 M sodium acetate at pH 3.0] mixed with precipitant [28% (w/v) NaCl, 8% (w/v) PEG6000 and 0.1 M sodium acetate at pH 3.0] in a 1:1 ratio"
"8D5S","1.2 M NaCl and 100 mM AcONa pH 4.6"
"8D5T","1.2 M NaCl and 100 mM AcONa pH 4.6"
"8D5U","1.2 M NaCl and 100 mM AcONa pH 4.6"
"8D5W","1.2 M NaCl and 100 mM AcONa pH 4.6"
"8D5X","1.2 M NaCl and 100 mM AcONa pH 4.6"
"8D5Z","1.2 M NaCl and 100 mM AcONa pH 4.6"
"8D60","1.2 M NaCl and 100 mM AcONa pH 4.6"
"8D61","1.2 M NaCl and 100 mM AcONa pH 4.6"
"8D62","1.2 M NaCl and 100 mM AcONa pH 4.6"
"8D69","1.2 M NaCl and 100 mM AcONa pH 4.6"
"8D6B","1.2 M NaCl and 100 mM AcONa pH 4.6"
"8D6I","1.2 M NaCl and 100 mM AcONa pH 4.6"
"8D75","1.2 M NaCl and 100 mM AcONa pH 4.6"
"8D77","1.2 M NaCl and 100 mM AcONa pH 4.6"
"8D7A","1.2 M NaCl and 100 mM AcONa pH 4.6"
"8D7B","1.2 M NaCl and 100 mM AcONa pH 4.6"
"8D7C","1.2 M NaCl and 100 mM AcONa pH 4.6"
"8D7D","1.2 M NaCl and 100 mM AcONa pH 4.6"
"8D7J","1.2 M NaCl and 100 mM AcONa pH 4.6"
"8D7L","1.2 M NaCl and 100 mM AcONa pH 4.6"
"8D7Q","1.2 M NaCl and 100 mM AcONa pH 4.6"
